host_response_rate;host_is_superhost;host_listings_count;host_has_profile_pic;host_identity_verified;is_location_exact;accommodates;bathrooms;bedrooms;beds;price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;availability_30;availability_60;availability_90;availability_365;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;require_guest_profile_picture;require_guest_phone_verification;calculated_host_listings_count;reviews_per_month;Cats;Other pets;FamilyKid Friendly;Shampoo;Washer;Hair Dryer;Pets Allowed;Breakfast;Iron;Carbon Monoxide Detector;Hangers;24Hour Checkin;Cable TV;Smoke Detector;TV;Hot Tub;First Aid Kit;Pets live on this property;Gym;Dryer;Free Parking on Premises;Smoking Allowed;Heating;Lock on Bedroom Door;Internet;Air Conditioning;BuzzerWireless Intercom;Doorman;Laptop Friendly Workspace;Pool;Essentials;Safety Card;Suitable for Events;Fire Extinguisher;Washer  Dryer;Wireless Internet;Kitchen;Dogs;Elevator in Building;Indoor Fireplace;Wheelchair Accessible;host_response_time_within a day;host_response_time_within a few hours;host_response_time_within an hour;neighbourhood_group_cleansed_Beacon Hill;neighbourhood_group_cleansed_Capitol Hill;neighbourhood_group_cleansed_Cascade;neighbourhood_group_cleansed_Central Area;neighbourhood_group_cleansed_Delridge;neighbourhood_group_cleansed_Downtown;neighbourhood_group_cleansed_Interbay;neighbourhood_group_cleansed_Lake City;neighbourhood_group_cleansed_Magnolia;neighbourhood_group_cleansed_Northgate;neighbourhood_group_cleansed_Other neighborhoods;neighbourhood_group_cleansed_Queen Anne;neighbourhood_group_cleansed_Rainier Valley;neighbourhood_group_cleansed_Seward Park;neighbourhood_group_cleansed_University District;neighbourhood_group_cleansed_West Seattle;zipcode_98102;zipcode_98103;zipcode_98104;zipcode_98105;zipcode_98106;zipcode_98107;zipcode_98108;zipcode_98109;zipcode_98112;zipcode_98115;zipcode_98116;zipcode_98117;zipcode_98118;zipcode_98119;zipcode_98121;zipcode_98122;zipcode_98125;zipcode_98126;zipcode_98133;zipcode_98134;zipcode_98136;zipcode_98144;zipcode_98146;zipcode_98177;zipcode_98178;zipcode_98199;"zipcode_99
98122";property_type_Bed & Breakfast;property_type_Boat;property_type_Bungalow;property_type_Cabin;property_type_Camper/RV;property_type_Chalet;property_type_Condominium;property_type_Dorm;property_type_House;property_type_Loft;property_type_Other;property_type_Tent;property_type_Townhouse;property_type_Treehouse;property_type_Yurt;room_type_Private room;room_type_Shared room;bed_type_Couch;bed_type_Futon;bed_type_Pull-out Sofa;bed_type_Real Bed;cancellation_policy_moderate;cancellation_policy_strict
1.0;1;1.0;1;1;1;4;1.0;2.0;3.0;245.0;300.0;95.0;1;0.0;3;14;30;60;90;362;13;98.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;0;1;0.92;0;0;1;1;1;0;0;0;0;1;0;0;1;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
1.0;0;1.0;1;1;1;5;1.0;2.0;3.0;165.0;400.0;85.0;4;20.0;2;1125;13;40;63;337;3;100.0;10.0;10.0;9.0;9.0;10.0;10.0;0;0;0;1;3.0;0;0;1;1;1;0;0;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
1.0;0;1.0;1;1;1;16;3.5;6.0;15.0;461.0;1500.0;300.0;8;50.0;3;29;19;40;65;327;18;98.0;9.0;10.0;10.0;10.0;10.0;10.0;1;0;0;1;2.65;0;0;1;1;1;0;0;0;0;1;0;0;1;1;1;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
1.0;0;1.0;1;0;0;5;1.0;2.0;2.0;109.0;0.0;89.0;1;0.0;3;15;30;60;69;69;1;80.0;8.0;10.0;8.0;8.0;8.0;8.0;0;0;0;1;0.73;0;0;1;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
1.0;0;1.0;1;1;1;2;1.0;1.0;1.0;66.0;100.0;35.0;1;25.0;1;10;29;59;89;364;84;95.0;10.0;9.0;10.0;10.0;10.0;9.0;0;0;0;1;4.55;1;0;0;1;1;0;1;1;0;1;0;0;0;1;0;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0
1.0;1;1.0;1;1;1;2;1.0;1.0;1.0;99.0;100.0;15.0;1;0.0;2;14;29;52;82;171;45;98.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;0;1;4.58;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0
;0;1.0;1;1;1;2;2.0;1.0;1.0;200.0;0.0;0.0;1;0.0;1;1125;0;0;0;125;0;;;;;;;;0;0;0;1;;0;0;1;1;1;0;0;0;0;1;0;0;1;1;1;0;1;1;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;0;1.0;1;1;1;10;3.5;5.0;5.0;700.0;500.0;250.0;1;0.0;3;30;24;54;84;359;5;85.0;10.0;9.0;9.0;9.0;8.0;8.0;0;0;0;1;0.82;1;0;1;1;1;0;1;0;0;1;0;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1.0;0;1.0;1;1;0;1;1.0;1.0;1.0;110.0;0.0;0.0;1;0.0;1;1125;29;55;85;360;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;0;1;1.0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1.0;0;1.0;1;0;1;3;1.5;1.0;2.0;99.0;0.0;15.0;1;10.0;1;1125;30;60;90;365;11;84.0;9.0;9.0;9.0;9.0;10.0;8.0;0;0;0;1;0.71;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0
1.0;0;1.0;1;0;1;8;2.0;4.0;4.0;450.0;0.0;0.0;1;0.0;4;1125;0;0;0;53;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;0;1;0.86;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;0;1.0;1;0;1;2;1.0;1.0;1.0;75.0;0.0;0.0;1;0.0;1;1125;30;60;90;365;0;;;;;;;;0;0;0;1;;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;0;0;1;1;0;1;1;1;1;0;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;0;1.0;1;0;1;5;2.5;3.0;3.0;600.0;500.0;150.0;1;0.0;3;1125;0;0;0;212;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;0;1;0.18;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0
0.67;0;2.0;1;1;1;8;2.5;3.0;5.0;450.0;500.0;200.0;6;50.0;4;1125;0;3;33;293;8;100.0;10.0;10.0;9.0;10.0;10.0;10.0;0;0;0;2;1.3;0;0;1;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
1.0;0;1.0;1;1;1;5;1.0;2.0;3.0;150.0;250.0;35.0;1;0.0;1;1125;0;0;0;49;0;;;;;;;;0;0;0;1;;0;0;1;1;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1.0;1;5.0;1;1;1;2;1.0;1.0;1.0;45.0;150.0;25.0;1;0.0;2;7;22;49;49;107;80;95.0;10.0;10.0;10.0;10.0;9.0;9.0;0;1;1;5;4.38;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1
1.0;0;5.0;1;1;1;6;2.0;3.0;3.0;300.0;500.0;125.0;1;0.0;2;1125;24;54;84;356;6;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;0;1;2.47;0;0;1;1;1;1;0;0;1;0;1;0;1;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
0.71;0;1.0;1;1;1;3;1.0;1.0;2.0;80.0;0.0;65.0;3;50.0;2;1125;0;1;30;305;4;85.0;8.0;9.0;7.0;10.0;9.0;9.0;0;0;0;1;0.33;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
0.98;1;6.0;1;1;1;4;1.0;1.0;1.0;175.0;0.0;40.0;1;0.0;2;365;19;46;62;323;38;96.0;10.0;10.0;10.0;10.0;10.0;10.0;0;1;1;6;1.86;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
0.97;0;9.0;1;1;1;6;1.5;3.0;3.0;325.0;500.0;100.0;6;60.0;2;1125;23;50;77;162;68;92.0;9.0;9.0;10.0;9.0;10.0;9.0;0;0;0;8;2.18;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
0.6;0;1.0;1;1;1;4;3.0;3.0;2.0;175.0;200.0;80.0;1;0.0;4;120;0;0;9;213;8;88.0;9.0;9.0;9.0;9.0;10.0;9.0;0;0;0;1;1.31;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;1;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
0.71;0;1.0;1;1;1;7;3.5;4.0;3.0;222.0;500.0;250.0;7;75.0;2;1125;0;0;0;2;5;75.0;8.0;9.0;8.0;9.0;9.0;8.0;1;0;0;1;0.99;0;0;1;1;1;0;1;0;0;1;0;0;1;1;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
1.0;0;1.0;1;0;1;4;1.0;2.0;2.0;159.0;250.0;99.0;1;0.0;1;1125;11;38;68;309;62;97.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;0;1;2.27;0;0;1;1;1;0;1;0;0;1;0;0;1;1;1;0;1;1;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
